matchIndex,playerA,playerB,playerARacks,playerBRacks,date,competition
117,Christoph Marien,Darko Ilic,9,2,22-Mar-19,2019 Mezz Bucharest Open
118,Rich Fulwell,Motti Ben Simoin,9,8,22-Mar-19,2019 Mezz Bucharest Open
119,Wiktor Zielinski,Darko Stankovi?,9,2,22-Mar-19,2019 Mezz Bucharest Open
120,Onur Yildirim,Aleksandar Filipovi?,9,1,22-Mar-19,2019 Mezz Bucharest Open
121,Sergiu Voicu,Iliyan Kiryakov,9,5,22-Mar-19,2019 Mezz Bucharest Open
122,Panos Petmezas,Kristiyan Spasov,5,9,22-Mar-19,2019 Mezz Bucharest Open
123,Kostas Koukiadakis,Chris Alexander,6,9,22-Mar-19,2019 Mezz Bucharest Open
124,Slobodan Banjanac,Ielchici Iasmin,9,5,22-Mar-19,2019 Mezz Bucharest Open
125,Lorenzo Giordani,Ioan Claudiu Mihalache,4,9,22-Mar-19,2019 Mezz Bucharest Open
126,Andrea Milioli,Sakis Lainas,9,8,22-Mar-19,2019 Mezz Bucharest Open
127,Wojciech Szewczyk,Micha? Muklewicz,6,9,22-Mar-19,2019 Mezz Bucharest Open
128,Antonis Vourthis,Arkadiusz Giernalczyk,9,6,22-Mar-19,2019 Mezz Bucharest Open
129,Marcus Chamat,Cezary Jarosz,9,6,22-Mar-19,2019 Mezz Bucharest Open
130,Johan Palé,Karabiyik Aygün,2,9,22-Mar-19,2019 Mezz Bucharest Open
131,Olivér Szolnoki,Alex Montpellier,9,7,22-Mar-19,2019 Mezz Bucharest Open
132,Alexandru Dobrin,Jeppe Thyde,5,9,22-Mar-19,2019 Mezz Bucharest Open
133,Sanjin Pehlivanovic,Dan Ursu,9,4,22-Mar-19,2019 Mezz Bucharest Open
134,Mustafa Alnar,Savga Serghei,9,0,22-Mar-19,2019 Mezz Bucharest Open
135,Eklent Kaci,Daniel Silva,9,2,22-Mar-19,2019 Mezz Bucharest Open
136,Aleksandar Zeljkovic,David Márquez Avila,9,6,22-Mar-19,2019 Mezz Bucharest Open
137,Tony Drago,Aleksa Pecelj,3,9,22-Mar-19,2019 Mezz Bucharest Open
138,Arjan Matrizi,Jan Van Lierop,9,3,22-Mar-19,2019 Mezz Bucharest Open
139,Ralf Souquet,Davy Piergiovanni,9,6,22-Mar-19,2019 Mezz Bucharest Open
140,Dan Cristea,Dilian Tiklev,4,9,22-Mar-19,2019 Mezz Bucharest Open
141,Ekonomopoulos Nick,Georgi Georgiev,9,2,22-Mar-19,2019 Mezz Bucharest Open
142,Kaan Duran,Ivaylo Simeonov,4,9,22-Mar-19,2019 Mezz Bucharest Open
143,Jayson Shaw,Dejan Stankovic,9,5,22-Mar-19,2019 Mezz Bucharest Open
144,Elvis Mladinescu,Almin Dervisevic,6,9,22-Mar-19,2019 Mezz Bucharest Open
145,Ioan Ladanyi,Tommie Yates,9,2,22-Mar-19,2019 Mezz Bucharest Open
