,date,playerA,playerARacks,playerB,playerBRacks,competition,matchIndex
125,2020-02-20 16:30:00,Adam Stankiewicz,5,Wojciech Szewczyk,9,2020 EuroTour Treviso,126
126,2020-02-20 16:30:00,Wiktor Zielinski,9,Ramazan Akdag,8,2020 EuroTour Treviso,127
127,2020-02-20 18:00:00,Babken Melkonyan,3,Piotr Likowski,9,2020 EuroTour Treviso,128
128,2020-02-20 18:00:00,Gianmarco Tonini,9,Valerio Castellano,1,2020 EuroTour Treviso,129
129,2020-02-20 19:30:00,Steve Heeb,1,Maximillian Lechner,9,2020 EuroTour Treviso,130
130,2020-02-20 15:00:00,Konrad Juszczyszyn,9,Hervis Hamid,5,2020 EuroTour Treviso,131
131,2020-02-20 15:00:00,Dimitri Jungo,9,Vincent Gomez,3,2020 EuroTour Treviso,132
132,2020-02-20 16:30:00,Benji Buckley,4,Marcel Price,9,2020 EuroTour Treviso,133
133,2020-02-20 16:30:00,Mickey Krause,9,Miquel Silva,7,2020 EuroTour Treviso,134
134,2020-02-20 18:00:00,Mario He,9,Thomas Knittel,5,2020 EuroTour Treviso,135
135,2020-02-20 18:00:00,Oliver Ortmann,8,Mihai Robert Braga,9,2020 EuroTour Treviso,136
136,2020-02-20 18:00:00,Jan VanLierop,8,Konstantinos Koukiadakis,9,2020 EuroTour Treviso,137
137,2020-02-20 19:30:00,Aleksa Pecelj,9,Francisco SanchezRuiz,7,2020 EuroTour Treviso,138
138,2020-02-20 15:00:00,Denis Grabe,9,Daniel Maciol,6,2020 EuroTour Treviso,139
139,2020-02-20 15:00:00,Juan Lizana,3,Jose Alberto Delgado,9,2020 EuroTour Treviso,140
140,2020-02-20 16:30:00,Ole-Tobias Gangflot,3,Wilhelm Georg,9,2020 EuroTour Treviso,141
141,2020-02-20 16:30:00,Tim DeRuyter,9,Miesko Fortunski,4,2020 EuroTour Treviso,142
142,2020-02-20 18:00:00,Jakub Koniar,9,John Torres,2,2020 EuroTour Treviso,143
143,2020-02-20 18:00:00,Dylan Vyvey,5,Marco Dorenburg,9,2020 EuroTour Treviso,144
144,2020-02-20 18:00:00,Yannick Pongers,9,Enrik Tenk,4,2020 EuroTour Treviso,145
145,2020-02-20 19:30:00,Andreja Klasovic,5,Mark Gray,9,2020 EuroTour Treviso,146
146,2020-02-20 19:30:00,Valeriia Trushevskaia,9,Massimiliano Corso,5,2020 EuroTour Treviso,147
147,2020-02-20 19:30:00,Ivan Nunez,9,Cosimo Esposito,1,2020 EuroTour Treviso,148
148,2020-02-20 21:00:00,Elio Sammarini,9,Athanasios Vrakas,2,2020 EuroTour Treviso,149
149,2020-02-20 19:30:00,Mauro Castriota,9,Dmytro Skorokhodov,6,2020 EuroTour Treviso,150
150,2020-02-20 21:00:00,Attila Bezdan,9,Carlos Cabello,5,2020 EuroTour Treviso,151
151,2020-02-20 19:30:00,Gabriel Ciprian,5,Ragnar Gronsten,9,2020 EuroTour Treviso,152
152,2020-02-20 21:00:00,Gabriel Syarov,3,Ville Hamalainen,9,2020 EuroTour Treviso,153
153,2020-02-20 19:30:00,Vasile Cozma,9,Alberto Damico,5,2020 EuroTour Treviso,154
154,2020-02-20 21:00:00,Amar Gjyshinca,2,Jasmin Ouschan,9,2020 EuroTour Treviso,155
155,2020-02-20 19:30:00,Johanna Vartiainen,1,Lars Kuckherm,9,2020 EuroTour Treviso,156
156,2020-02-20 19:30:00,Lefteris Georgiou,8,Giuseppe Iacobucci,9,2020 EuroTour Treviso,157
157,2020-02-20 21:00:00,Moritz Lauwereyns,9,Stefano Dellino,6,2020 EuroTour Treviso,158
158,2020-02-20 19:30:00,Daniel Leon,0,George Antonakis,9,2020 EuroTour Treviso,159
159,2020-02-20 21:00:00,Adam Mscisz,4,Nico Sallmayer,9,2020 EuroTour Treviso,160
160,2020-02-20 19:30:00,Zdenko Lisik,1,Marko Lisnic,9,2020 EuroTour Treviso,161
161,2020-02-20 21:00:00,Marco Palmieri,4,Pepijn DeWit,9,2020 EuroTour Treviso,162
162,2020-02-20 19:30:00,Giacomo Maria Amorati,2,Emil-Andre Gangflot,9,2020 EuroTour Treviso,163
163,2020-02-20 19:30:00,Antonino Falduto,2,Menelaos Lolas,9,2020 EuroTour Treviso,164
164,2020-02-20 21:00:00,Vitaliy Patsura,9,Pedro Pereira,5,2020 EuroTour Treviso,165
165,2020-02-20 19:30:00,Valeriia Trushevskaia,9,Massimiliano Corso,5,2020 EuroTour Treviso,166
166,2020-02-20 19:30:00,Ivan Nunez,9,Cosimo Esposito,1,2020 EuroTour Treviso,167
167,2020-02-20 21:00:00,Elio Sammarini,9,Athanasios Vrakas,2,2020 EuroTour Treviso,168
168,2020-02-20 19:30:00,Mauro Castriota,9,Dmytro Skorokhodov,6,2020 EuroTour Treviso,169
169,2020-02-20 21:00:00,Attila Bezdan,9,Carlos Cabello,5,2020 EuroTour Treviso,170
170,2020-02-20 19:30:00,Gabriel Ciprian,5,Ragnar Gronsten,9,2020 EuroTour Treviso,171
171,2020-02-20 21:00:00,Gabriel Syarov,3,Ville Hamalainen,9,2020 EuroTour Treviso,172
172,2020-02-20 19:30:00,Vasile Cozma,9,Alberto Damico,5,2020 EuroTour Treviso,173
173,2020-02-20 21:00:00,Amar Gjyshinca,2,Jasmin Ouschan,9,2020 EuroTour Treviso,174
174,2020-02-20 19:30:00,Johanna Vartiainen,1,Lars Kuckherm,9,2020 EuroTour Treviso,175
175,2020-02-20 19:30:00,Lefteris Georgiou,8,Giuseppe Iacobucci,9,2020 EuroTour Treviso,176
176,2020-02-20 21:00:00,Moritz Lauwereyns,9,Stefano Dellino,6,2020 EuroTour Treviso,177
177,2020-02-20 19:30:00,Daniel Leon,0,George Antonakis,9,2020 EuroTour Treviso,178
178,2020-02-20 21:00:00,Adam Mscisz,4,Nico Sallmayer,9,2020 EuroTour Treviso,179
179,2020-02-20 19:30:00,Zdenko Lisik,1,Marko Lisnic,9,2020 EuroTour Treviso,180
180,2020-02-20 21:00:00,Marco Palmieri,4,Pepijn DeWit,9,2020 EuroTour Treviso,181
181,2020-02-20 19:30:00,Giacomo Maria Amorati,2,Emil-Andre Gangflot,9,2020 EuroTour Treviso,182
182,2020-02-20 19:30:00,Antonino Falduto,2,Menelaos Lolas,9,2020 EuroTour Treviso,183
183,2020-02-20 21:00:00,Vitaliy Patsura,9,Pedro Pereira,5,2020 EuroTour Treviso,184
184,2020-02-20 21:00:00,Adrian Weiss,9,Gianluca Cappella,3,2020 EuroTour Treviso,185
185,2020-02-20 21:00:00,Valeriia Trushevskaia,2,Niklas Dohr,9,2020 EuroTour Treviso,186
186,2020-02-20 22:30:00,Thorsten Hohmann,9,Chris Melling,8,2020 EuroTour Treviso,187
187,2020-02-20 22:30:00,Stefan Gruber,3,Francesco Candela,9,2020 EuroTour Treviso,188
188,2020-02-20 22:30:00,Ole Kristian Rudshavn,9,Moritz Neuhausen,7,2020 EuroTour Treviso,189
189,2020-02-20 23:45:00,Ivan Nunez,9,Alberto Ferrara,6,2020 EuroTour Treviso,190
190,2020-02-20 23:45:00,Elio Sammarini,6,Jan Rempe,9,2020 EuroTour Treviso,191
191,2020-02-21 09:00:00,Francesco Garzia,4,Sergio Lagunas,9,2020 EuroTour Treviso,192
192,2020-02-20 21:00:00,Michael Schneider,5,Fabio Rizzi,9,2020 EuroTour Treviso,193
193,2020-02-20 21:00:00,Mauro Castriota,9,Jorge Garcia-Fonseca,3,2020 EuroTour Treviso,194
194,2020-02-20 22:30:00,Matteo Angelini,3,Mihkel Rehepap,9,2020 EuroTour Treviso,195
195,2020-02-20 22:30:00,Stefan Sprangers,9,Zoran Pucar,4,2020 EuroTour Treviso,196
196,2020-02-20 22:30:00,Alessandro Giordani,7,Daniel Konrad,9,2020 EuroTour Treviso,197
197,2020-02-20 23:45:00,Sebastian Batkowski,9,Pia Filler,7,2020 EuroTour Treviso,198
198,2020-02-20 23:45:00,Attila Bezdan,9,Johannes Geihe,6,2020 EuroTour Treviso,199
199,2020-02-21 09:00:00,Florijan Maric,4,Piotr Ostrowski,9,2020 EuroTour Treviso,200
200,2020-02-20 21:00:00,Max Henning,3,Marc Bijsterbosch,9,2020 EuroTour Treviso,201
201,2020-02-20 21:00:00,Ragnar Gronsten,2,Christian Froehlich,9,2020 EuroTour Treviso,202
202,2020-02-20 22:30:00,Enrico Falappa,4,Andrea Cianciaruso,9,2020 EuroTour Treviso,203
203,2020-02-20 22:30:00,Thorsten Bonke,0,Francisco Diaz-Pizarro,9,2020 EuroTour Treviso,204
204,2020-02-20 23:45:00,Martin Kramer,0,Giovanni DiMartino,9,2020 EuroTour Treviso,205
205,2020-02-20 23:45:00,Ville Hamalainen,8,Imran Majid,9,2020 EuroTour Treviso,206
206,2020-02-21 09:00:00,Chris Patient,1,Ruslan Chinahov,9,2020 EuroTour Treviso,207
207,2020-02-20 21:00:00,Karl Gnadenberg,2,Damianos Giallourakis,9,2020 EuroTour Treviso,208
208,2020-02-20 21:00:00,Vasile Cozma,1,Darren Appleton,9,2020 EuroTour Treviso,209
209,2020-02-20 22:30:00,Pedro Teixera,9,Michael Huetter,2,2020 EuroTour Treviso,210
210,2020-02-20 22:30:00,Michele Bianchini,8,Viacheslav Skvortsov,9,2020 EuroTour Treviso,211
211,2020-02-20 23:45:00,Bruno Bernardo,3,Alex Montpellier,9,2020 EuroTour Treviso,212
212,2020-02-20 23:45:00,Marc CodinaLlonch,8,Andrey Seroshtan,9,2020 EuroTour Treviso,213
213,2020-02-20 23:45:00,Jasmin Ouschan,7,Marharyta Fefilava,9,2020 EuroTour Treviso,214
214,2020-02-21 09:00:00,Johan Pale,6,Daniel Resch,9,2020 EuroTour Treviso,215
215,2020-02-20 21:00:00,Pijus Labutis,9,Mariusz Skoneczny,7,2020 EuroTour Treviso,216
216,2020-02-20 21:00:00,Lars Kuckherm,9,Gianluca Ascheri,5,2020 EuroTour Treviso,217
217,2020-02-20 22:30:00,Andrea Milioli,3,Wojciech Sroczynski,9,2020 EuroTour Treviso,218
218,2020-02-20 22:30:00,Stephen Defrasnes,1,Zoran Svilar,9,2020 EuroTour Treviso,219
219,2020-02-20 23:45:00,Miquel Canillas,2,Mats Schjetne,9,2020 EuroTour Treviso,220
220,2020-02-20 23:45:00,Giuseppe Iacobucci,9,Michal Turkowski,4,2020 EuroTour Treviso,221
221,2020-02-20 23:45:00,Moritz Lauwereyns,9,Gabor Solymosi,7,2020 EuroTour Treviso,222
222,2020-02-21 09:00:00,Georgi Georgiev,9,Stanimir Ruslanov,7,2020 EuroTour Treviso,223
223,2020-02-20 21:00:00,Francisco Gatsby,9,Steve Heeb,8,2020 EuroTour Treviso,224
224,2020-02-20 22:30:00,George Antonakis,9,Valerio Castellano,2,2020 EuroTour Treviso,225
225,2020-02-20 22:30:00,Elise Qiu,4,Babken Melkonyan,9,2020 EuroTour Treviso,226
226,2020-02-20 22:30:00,Ruben Alves,2,Ramazan Akdag,9,2020 EuroTour Treviso,227
227,2020-02-20 23:45:00,Javier DelSanto-Sanz,7,Adam Stankiewicz,9,2020 EuroTour Treviso,228
228,2020-02-20 23:45:00,Emilio-Jofre Domenech,6,Thomas Poschl,9,2020 EuroTour Treviso,229
229,2020-02-20 23:45:00,Nico Sallmayer,9,Jan Wolf,6,2020 EuroTour Treviso,230
230,2020-02-20 21:00:00,Daniel Pleunik,1,Francisco SanchezRuiz,9,2020 EuroTour Treviso,231
231,2020-02-20 22:30:00,Marko Lisnic,5,Jan VanLierop,9,2020 EuroTour Treviso,232
232,2020-02-20 22:30:00,Casper Matikainen,9,Oliver Ortmann,2,2020 EuroTour Treviso,233
233,2020-02-20 22:30:00,Luca Montanari,8,Thomas Knittel,9,2020 EuroTour Treviso,234
234,2020-02-20 23:45:00,Albert Stensrod,6,Miquel Silva,9,2020 EuroTour Treviso,235
235,2020-02-20 23:45:00,Matjaz Erculj,8,Benji Buckley,9,2020 EuroTour Treviso,236
236,2020-02-20 23:45:00,Pepijn DeWit,9,Vincent Gomez,1,2020 EuroTour Treviso,237
237,2020-02-21 09:00:00,Riccardo Sini,9,Hervis Hamid,1,2020 EuroTour Treviso,238
238,2020-02-20 21:00:00,Daniele Corrieri,9,Andreja Klasovic,2,2020 EuroTour Treviso,239
239,2020-02-20 22:30:00,Emil-Andre Gangflot,9,Enrik Tenk,2,2020 EuroTour Treviso,240
240,2020-02-20 22:30:00,Fabio Petroni,9,Dylan Vyvey,3,2020 EuroTour Treviso,241
241,2020-02-20 22:30:00,Vasileios Zoidis,9,John Torres,8,2020 EuroTour Treviso,242
242,2020-02-20 23:45:00,Roman Schleiner,3,Miesko Fortunski,9,2020 EuroTour Treviso,243
243,2020-02-20 23:45:00,Menelaos Lolas,7,Ole-Tobias Gangflot,9,2020 EuroTour Treviso,244
244,2020-02-21 09:00:00,Vitaliy Patsura,9,Juan Lizana,0,2020 EuroTour Treviso,245
245,2020-02-21 09:00:00,Marcel Stecher,7,Daniel Maciol,9,2020 EuroTour Treviso,246
246,2020-02-21 09:00:00,Joshua Filler,9,Henrique Correia,4,2020 EuroTour Treviso,247
